num,20,2
2-5-177-207,259,21f,2c5,-11,9,2
2-5-178-199,251,218,2bc,-7,12,7
2-5-179-191,248,210,2b2,-3,15,13
2-5-180-183,23f,208,2a8,1,18,18
2-5-181-175,236,200,29e,5,21,23
2-5-182-159,224,1f0,28b,12,27,35
2-5-183-143,211,1df,276,20,33,45
2-5-184-127,1fb,1cc,260,24,37,53
2-5-185-111,1e4,1b8,248,29,42,60
2-5-186-95,1cb,1a2,22e,34,46,68
2-5-187-79,1ad,188,210,36,48,73
2-5-188-63,18c,16a,1ed,39,49,77
2-5-189-55,179,15a,1da,39,50,79
2-5-190-47,164,148,1c4,40,51,80
2-5-191-39,14d,135,1ac,40,53,81
2-5-192-31,133,11f,191,42,55,83
2-5-193-23,114,108,16f,48,63,86
2-5-194-19,104,fc,15d,50,67,87
2-5-195-17,fc,f6,155,52,69,89
2-5-196-15,f3,ef,14b,53,71,89
2-5-197-13,eb,e9,142,58,75,94
2-5-198-11,e2,e2,139,64,79,100
2-5-199-9,da,dc,12f,70,84,104
2-5-200-7,d0,d4,125,75,88,110
2-5-201-5,c9,ce,11c,84,94,118
2-5-202-3,c1,c6,111,94,99,126
2-5-203-1,61,63,89,47,49,63
2-5-204-0,0,0,0,0,0,0
2-6-205-255,27d,224,2d6,-37,-38,-55
2-6-206-247,279,21f,2d0,-36,-40,-56
2-6-207-239,272,21a,2c9,-37,-40,-56
2-6-208-231,269,212,2bf,-34,-38,-51
2-6-209-223,25f,20b,2b3,-31,-34,-48
2-6-210-215,255,203,2a7,-29,-31,-44
2-6-211-207,24a,1fa,29a,-26,-28,-41
